,X.1,X,itemname,mealtype,quantity,quantitytype,datesort,itemid,mealtypeid
4,52,82,Meat Sauce,,8,Pound,1060,199,1
7,151,213,Meat Sauce,,2,Pound,1061,199,2
13,218,299,Meat Sauce,,4,Pound,1062,199,3
16,242,331,Meat Sauce,,2,Pound,1063,199,4
22,334,450,Meat Sauce,,3.2,Pound,1064,199,1
25,376,510,Meat Sauce,,6.6,Pound,1065,199,1
31,458,627,Meat Sauce,,6,Pound,1066,199,1
34,521,725,Meat Sauce,,4.6,Pound,1067,199,1
40,664,937,Meat Sauce,,0.4,Pound,1068,199,1
43,703,994,Meat Sauce,,6.8,Pound,1069,199,1
49,805,1158,Meat Sauce,,1.5,Pound,1070,199,1
52,854,1235,Meat Sauce,,6.2,Pound,1071,199,1
58,1008,1508,Meat Sauce,,9,Pound,1072,199,1
61,1052,1575,Meat Sauce,,1.3,Pound,1073,199,1
67,1136,1714,Meat Sauce,,4,Pound,1074,199,1
70,1166,1768,Meat Sauce,,9,Pound,1075,199,1
76,1243,1911,Meat Sauce,,1.6,Pound,1076,199,1
79,1322,2055,Meat Sauce,,4.5,Pound,1077,199,1
85,1418,2176,Meat Sauce,,8.1,Pound,1078,199,1
88,1463,2246,Meat Sauce,,6,Pound,1079,199,1
94,1536,2349,Meat Sauce,,1,Pound,1080,199,1
97,1574,2442,Meat Sauce,,3.4,Pound,1081,199,1
103,1647,2567,Meat Sauce,,4.2,Pound,1082,199,1
106,1699,2655,Meat Sauce,,2.5,Pound,1083,199,1
112,1758,2728,Meat Sauce,,6.1,Pound,1084,199,1
115,1789,2765,Meat Sauce,,1.7,Pound,1085,199,1
121,1830,2821,Meat Sauce,,2.4,Pound,1086,199,1
124,1859,2867,Meat Sauce,,1.7,Pound,1087,199,1
130,1919,2965,Meat Sauce,,3.4,Pound,1088,199,1
133,1961,3024,Meat Sauce,,3,Pound,1089,199,1
139,2014,3089,Meat Sauce,,3,Pound,1090,199,1