,Location,Item_Name,PLU,Count
0,Cranston,Bacon Ranch Potato Salad,46000006049,1
1,Cranston,Balsamic Mushrooms,46000014318,1
2,Cranston,Black Eyed Pea Fritters Chef LMT HB CE,46000030014,1
3,Cranston,Broccoli Crunch,27074300000,1
4,Cranston,CV Broccoli,46000055751,1
5,Cranston,"Carrots, Apple Cider Glazed PGI HB CE",46000028908,1
6,Cranston,Cheddar Cheese,46000060630,1
7,Cranston,Chicken Ceasar Pasta Salad,46000015079,1
8,Cranston,Corn Chips,82512000610,1
9,Cranston,Creamy Mashed Potatoes,46000060421,1
10,Cranston,Curry Chicken Salad,28887900000,1
11,Cranston,Fajita Quinoa,46000030062,1
12,Cranston,Feta Cheese,46000060636,1
13,Cranston,Flour Chips,82512000812,1
14,Cranston,Fuji Tuna Salad,26104100000,1
15,Cranston,Grilled Chicken,28452000000,1
16,Cranston,Grilled Sourdough,46000021382,1
17,Cranston,Heirloom Tomato Kale Orzo Salad,26139600000,1
18,Cranston,Iceburg Wedges,46000055863,1
19,Cranston,Mixed Baby Peppers,46000055736,1
20,Cranston,Mixed Sliced Peppers,46000055736,1
21,Cranston,Organic Edemame,46000055808,1
22,Cranston,Pico De Gallo,48000037963,1
23,Cranston,"Pierogi, Fried With Melted Onions HB NA",46000011487,1
24,Cranston,"Pot Pie, Chicken Mushroom Bacon HB NA",46000029307,1
25,Cranston,Roasted Red Peppers,46000059425,1
26,Cranston,SOUP VEGAN PUMPKIN,9948248921,1
27,Cranston,"Salad, Chicken Balsamic with Vegetables NA",46000006964,1
28,Cranston,"Salad, Cranberry Orange Kale SB NA",46000021987,1
29,Cranston,Seafood Salad,46000010080,1
30,Cranston,Sonoma Chicken Salad,46000063949,1
31,Cranston,Spinach Feta Orzo Salad,46000003328,1
32,Cranston,Steamed Carrots,46000060268,1
33,Cranston,Summer Squash Panzanella,46000026516,1
34,Cranston,Sweet Potato Picadillo,46000030064,1
35,Cranston,YOGURT VANILLA LOW FAT SB,46000064395,1
36,Cranston,"Zucchini, Sauteed with Poblano HB NA",46000019139,1
37,Dedham,Baby Spinach,46000055923,1
38,Dedham,Black Beans,46000006607,1
39,Dedham,Blackberries,46000055744,1
40,Dedham,Blackened Potatoes,46000018076,1
41,Dedham,"Brussels Sprouts, Mustard Ale Sauce",46000028907,1
42,Dedham,Cantalope,46000055768,1
43,Dedham,"Chicken Korma, Hyderabadi Cashew ",46000029961,1
44,Dedham,"Chicken Thighs, Garlic & Herb",46000026987,1
45,Dedham,"Chicken, Mushroom Herb",46000024976,1
46,Dedham,Chinese Black Pepper Green Beans ,46000024077,1
47,Dedham,Cook Falafel,46000003326,1
48,Dedham,Dolmas,46000058735,1
49,Dedham,Edamame,46000055807,1
50,Dedham,Golden Beets,46000055729,1
51,Dedham,JERK CHICKEN,9948248923,1
52,Dedham,Kidney Beans,46000055848,1
53,Dedham,Lemon Parsley Pollock ,46000064572,1
54,Dedham,Maria's Beef Meatballs ,22593200000,1
55,Dedham,Mashed Avocado,46000021385,1
56,Dedham,Peas,46000055892,1
57,Dedham,Potato & Scallion Salad ,46000027163,1
58,Dedham,"Potatoes, Patate Al Forne",46000010140,1
59,Dedham,"Sausage, Grilled with Broccoli Rabe",46000029504,1
60,Dedham,Strawberries,46000055938,1
61,Hingham,Agrodulce Carrots,46000029497,1
62,Hingham,"Beet, Kale, and Mango Salad",46000008442,1
63,Hingham,Black Pepper,46000005957,1
64,Hingham,Broccoli,46000055751,1
65,Hingham,Buttermilk Ranch Dressing,46000060493,1
66,Hingham,Cashews,46000055774,1
67,Hingham,"Celery, bias cut",46000060727,1
68,Hingham,Cheese Lasagna,46000060410,1
69,Hingham,Chicken Cacciatore,46000005678,1
70,Hingham,Cooked Red Beets,46000007337,1
71,Hingham,Feta Cheese,46000060636,1
72,Hingham,Game Day Chicken Salad with Bacon,46000029434,1
73,Hingham,Grated Parmesan,46000007116,1
74,Hingham,Green Garbanzo Bean Salad,46000007114,1
75,Hingham,Grilled Chicken Breast,28452000000,1
76,Hingham,Grilled Sausage with Broccoli Rabe,46000029504,1
77,Hingham,Grilled Tofu,46000064783,1
78,Hingham,Italian Style Roast Beef,24249500000,1
79,Hingham,Lemon Parsley Haddock,46000015649,1
80,Hingham,Maple Roasted Sweet Potatoes,46000020407,1
81,Hingham,Mashed Butternut Squash,46000020414,1
82,Hingham,Mixed Berries,46000012696,1
83,Hingham,Mustard Ale Brussels Sprouts,46000028907,1
84,Hingham,Mustard Ale Glazed Chicken Breast,46000028909,1
85,Hingham,Orange Chicken,46000012679,1
86,Hingham,Organic Corn,46000055794,1
87,Hingham,Organic Radish,46000055918,1
88,Hingham,Paleo Friendly Roasted Butternut Squash,46000028995,1
89,Hingham,Pickled Pepper Brussels Sprouts,46000028906,1
90,Hingham,Pierogis with Fried Onions,46000011487,1
91,Hingham,Roasted Apples & Parsnips,46000008519,1
92,Hingham,Roasted Cauliflower with Poblanos & Queso,46000024999,1
93,Hingham,Roasted Garlic Broccoli Rabe,46000028877,1
94,Hingham,Roasted Rainbow Carrots,46000064480,1
95,Hingham,Roasted Red Peppers,46000059425,1
96,Hingham,Skillet Beef with Corn & Black Beans,46000025413,1
97,Hingham,Sweet Potato Picadillo,46000030064,1
98,Hingham,Teriyaki Chicken Wings,46000008373,1
99,Hingham,Thai Coconut Shrimp Soup,88063200321,1
100,Hingham,"Zucchini, Sauteed with Poblano HB NA",46000019139,1
101,West hartford,"Brussel Sprouts, Sweet & Sour",46000028979,1
102,West hartford,"Brussels Sprouts, Cacio e Pepe",46000029299,1
103,West hartford,CARROTS SHREDDED CV SB,46000055772,1
104,West hartford,"Cauliflower, Sicilian",46000029060,1
105,West hartford,Champagne Dijon Potato Salad,46000027069,1
106,West hartford,"Chicken Breast, Mustard Ale Glazed",46000028909,1
107,West hartford,"Chicken Korma, Hyderabadi Cashew",46000029961,1
108,West hartford,"Chicken Thighs, Garlic & Herb",46000026987,1
109,West hartford,"Chicken, Spicy Kerala Pepper",46000029962,1
110,West hartford,Citrus Marinated Olives,46000059365,1
111,West hartford,Cow Bell Hell Smoked Beef Tips,46000018070,1
112,West hartford,DIP TZATZIKI SB,46000059666,1
113,West hartford,Fennel Pistachio Lemon Vin Salad,46000024075,1
114,West hartford,GUACAMOLE SB,46000024761,1
115,West hartford,Garlic Parm & Pepper Potatoes,46000018077,1
116,West hartford,Grape Tomatoes,46000055943,1
117,West hartford,Greek Salad,46000064399,1
118,West hartford,"Green Beans, Tomato Garlic HB NA",46000026993,1
119,West hartford,Honey Jalapeno Wings,46000018079,1
120,West hartford,Hummus,46000059671,1
121,West hartford,JERK CHICKEN,9948248923,1
122,West hartford,Kale & Brussel Sprout Salad,46000007609,1
123,West hartford,Kidney Beans,46000055848,1
124,West hartford,MACARONI CHEESE MUSHROOM BUTTERNUT HB,46000020861,1
125,West hartford,"Meatballs, Beef Mushroom & Herb",46000029304,1
126,West hartford,Mushroom & Barley Soup,46000004373,1
127,West hartford,Paleo Roasted Cremini Mushrooms,46000028992,1
128,West hartford,"Passover, Rosemary Roasted Potatoes with Lemon",46000024415,1
129,West hartford,Peas,46000055892,1
130,West hartford,"Pollock, Olive Tomato & Parsley HSH NA",46000059701,1
131,West hartford,"Pork, Loin Cider Mustard",46000020371,1
132,West hartford,"Potatoes, Cider Mustard",46000020370,1
133,West hartford,RICE WHITE COOKED HB,46000064386,1
134,West hartford,Roasted Broccoli,46000007355,1
135,West hartford,Roasted Red Peppers,46000059425,1
136,West hartford,Roman Cappellini Pasta Salad,27661900000,1
137,West hartford,"Romanesco, Autumn with Vegan Parmesan",46000029310,1
138,West hartford,SALAD TAILGATE COLESLAW SB,46000010703,1
139,West hartford,"Salad, Cranberry Orange Kale SB NA",46000021987,1
140,West hartford,Sausage Patties,46000065097,1
141,West hartford,Spinach Feta Orzo Salad,27848700000,1
142,West hartford,Tofu Taco Crumble,46000030061,1
143,West hartford,Turkey Chili,46000004909,1
144,West hartford,Zucchini,46000007476,1
145,Westford,Al Forno Patate Potatoes,46000019140,1
146,Westford,Arugula,46000055714,1
147,Westford,Blanched Green Beans,46000055829,1
148,Westford,Breaded Chicken Tender,22785600000,1
149,Westford,Broccoli,46000055751,1
150,Westford,Broccoli Cheddar Quiche,46000050193,1
151,Westford,Buffalo Bleu Macaroni & Cheese,46000003990,1
152,Westford,CAULIFLOWER CAULILINI CURRY SB,46000021721,1
153,Westford,"Chicken, Schnitzel with Apple Amba 4lb eStore CE",46000030029,1
154,Westford,Cranberry Beans,46000029845,1
155,Westford,Eggless Tofu Salad,46000064782,1
156,Westford,Grilled Asparagus,46000007336,1
157,Westford,Grilled Chicken Breast,28452000000,1
158,Westford,Harissa Grilled Chicken Thighs,46000019783,1
159,Westford,Honey Pistachio Green Beans,46000026992,1
160,Westford,Honey Sriracha Fried Tofu,46000020408,1
161,Westford,Hummus,46000059671,1
162,Westford,Lemon Parsley Haddock,46000015649,1
163,Westford,Mushroom & Herb Meatloaf,46000023228,1
164,Westford,Organic Fresh Fields Greens,46000007360,1
165,Westford,POTATO SWEET TURMERIC ROASTED SB,46000013171,1
166,Westford,Paleo Friendly Roasted Red Bell Peppers,46000028993,1
167,Westford,Paleo Friendly Roasted Zucchini,46000028996,1
168,Westford,Pollock Puttanesca,46000029500,1
169,Westford,Prosciutto Roasted Brussels Sprouts,46000058486,1
170,Westford,Red Cabbage,46000055765,1
171,Westford,Rosemary Roasted Potatoes with Lemon,46000024415,1
172,Westford,Sicilian Cauliflower,46000029060,1
173,Westford,Smashed Butternut Squash with Mascarpone,46000029517,1
174,Westford,Spinach Feta Orzo,46000003328,1
175,Westford,Thai Coconut Shrimp Soup,88063200321,1
176,Westford,Vegetable Fried Rice,46000022030,1
177,Westford,traditional latkes,46000030013,1
